Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
Ford,C-Max,2014,Very Good,180 000 - 189 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking']",5.0,,Yes,Tétouan,Wilaya,127000.0
Renault,Kangoo,2019,,130 000 - 139 999,Manual,6 CV,Petrol,"['Rear Camera', 'Electric Windows']",,,,Casablanca,Ain Sebaa,
Volkswagen,Jetta,1989,Very Good,30 000 - 34 999,Manual,6 CV,Diesel,['Alloy Wheels'],5.0,Customs-cleared car,No,Sidi Bennour,Toute la ville,33000.0
Dacia,Logan,2006,Excellent,20 000 - 24 999,Manual,6 CV,Diesel,"['Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Temara,Massira 2,52000.0
Mercedes-Benz,Classe B,2012,Excellent,170 000 - 179 999,Automatic,7 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Al Mostakbal,135000.0
Honda,Accord,2007,Excellent,200 000 - 249 999,Automatic,11 CV,Petrol,"['Leather Seats', 'Electric Windows']",5.0,WW in Morocco,No,Meknès,Nouveau Mellah,68000.0
Honda,CR-V,2014,Excellent,160 000 - 169 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Marrakech,Hay Targa,153000.0
Jeep,Cherokee,2017,Very Good,160 000 - 169 999,Automatic,17 CV,Diesel,"['Leather Seats', 'Electric Windows']",5.0,WW in Morocco,Yes,Marrakech,Route de Casablanca,195000.0
Mazda,MX6,2004,Fair,250 000 - 299 999,Manual,8 CV,Diesel,"['ABS', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Onboard Computer', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Electric Windows']",,,,Tétouan,City Center,45000.0
Dacia,Duster,2022,Excellent,100 000 - 109 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Marrakech,Ain Mezouar,
Volkswagen,Passat,2004,Very Good,0 - 4 999,Manual,8 CV,Diesel,"['Airbags', 'Air Conditioning', 'Alloy Wheels', 'Leather Seats', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Guelmim,Toute la ville,58000.0
Renault,Captur,2021,Excellent,45 000 - 49 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Californie,194999.0
Mercedes-Benz,Classe GLA,2014,Excellent,170 000 - 179 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Fès,Narjiss,
Fiat,FIORINO,2018,Excellent,110 000 - 119 999,Manual,6 CV,Diesel,"['Leather Seats', 'CD/MP3/Bluetooth']",5.0,,No,Tanger,Other,8700.0
Peugeot,3008,2019,Excellent,100 000 - 109 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,,Casablanca,2 Mars,225000.0
Peugeot,308,2017,Excellent,130 000 - 139 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Rabat,Haut Agdal,139000.0
Mercedes-Benz,608,2001,Good,5 000 - 9 999,Manual,9 CV,Diesel,"['Rear Camera', 'Alloy Wheels']",,WW in Morocco,No,Casablanca,Hay Moulay Rachid,5500000.0
Renault,kangoo_ze,2017,Excellent,150 000 - 159 999,Manual,6 CV,Diesel,"['Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Electric Windows']",,WW in Morocco,Yes,Casablanca,Hay Hassani,130000.0
Renault,Fluence,2010,Excellent,200 000 - 249 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Ben Guerir,Toute la ville,75000.0
Land Rover,Range Rover Sport,2021,Excellent,65 000 - 69 999,Automatic,12 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Maarif,700000.0
Renault,Kangoo,2014,Very Good,190 000 - 199 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Electric Windows']",5.0,WW in Morocco,No,Fès,Ben Souda,
Mercedes-Benz,Classe C,2019,Excellent,130 000 - 139 999,Automatic,8 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,Yes,Casablanca,Route d'El Jadida,
Renault,Clio,2018,Very Good,0 - 4 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,,Agadir,El Houda,105000.0
Mitsubishi,L200,2013,Very Good,190 000 - 199 999,Manual,10 CV,Diesel,"['Leather Seats', 'CD/MP3/Bluetooth']",3.0,,,Salé,Toute la ville,135000.0
BMW,Serie 5,2010,Very Good,250 000 - 299 999,Automatic,10 CV,Diesel,"['Rear Camera', 'Leather Seats']",3.0,WW in Morocco,,Rabat,Other,1.0
Jaguar,XE,2018,Excellent,60 000 - 64 999,Automatic,8 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,Yes,Casablanca,Maarif,
Ford,Fusion,2016,Excellent,110 000 - 119 999,Automatic,8 CV,Diesel,"['Airbags', 'Air Conditioning', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Electric Windows']",5.0,WW in Morocco,No,Taza,Toute la ville,155000.0
Renault,Clio,2021,Very Good,75 000 - 79 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",5.0,WW in Morocco,Yes,Fès,Agdal,
Mercedes-Benz,220,2007,Good,250 000 - 299 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Electric Windows']",5.0,Customs-cleared car,No,Casablanca,Sidi Maarouf,110000.0
Volkswagen,GOLF 4,2001,Good,350 000 - 399 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Laâyoune,Toute la ville,63000.0
Nissan,X-Trail,2008,Excellent,350 000 - 399 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Onboard Computer', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Kénitra,Assam,65000.0
Citroen,C3,2006,,25 000 - 29 999,Manual,6 CV,Diesel,['Air Conditioning'],,WW in Morocco,,Fès,Mont Fleuri 2,
Fiat,Punto,2010,Excellent,20 000 - 24 999,Manual,5 CV,Diesel,"['Rear Camera', 'Leather Seats']",5.0,WW in Morocco,No,Settat,Toute la ville,55000.0
Dacia,Dokker,2019,Excellent,0 - 4 999,Manual,7 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",,WW in Morocco,Yes,Casablanca,Ain Sebaa,
Volkswagen,Polo,1999,Very Good,200 000 - 249 999,Manual,8 CV,Petrol,"['Rear Camera', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Tétouan,Kouilma,33000.0
Audi,A5,2018,Excellent,85 000 - 89 999,Automatic,8 CV,Diesel,"['Rear Camera', 'Rear Camera']",5.0,Imported New,Yes,Casablanca,2 Mars,
Renault,19,1994,Excellent,100 000 - 109 999,Manual,7 CV,Diesel,"['Alloy Wheels', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Casablanca,Hay Hassani,44000.0
Renault,Clio,2015,Very Good,120 000 - 129 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Imported New,Yes,Rabat,Hay Nahda,98000.0
Peugeot,208,2013,Very Good,110 000 - 119 999,Manual,7 CV,Petrol,"['Electric Windows', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Aïn Chock,74000.0
Ford,ESCORT,1997,Very Good,0 - 4 999,Manual,7 CV,Petrol,"['Leather Seats', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,,Salé,El Qaria,20000.0
Ford,Focus,2010,Very Good,190 000 - 199 999,Manual,7 CV,Diesel,['Air Conditioning'],5.0,WW in Morocco,No,Fès,Route de Sefrou,82000.0
Hyundai,Accent,2017,Very Good,70 000 - 74 999,Manual,6 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,WW in Morocco,Yes,Casablanca,Aïn Chock,
Renault,Clio,2019,Excellent,95 000 - 99 999,Manual,6 CV,Diesel,"['Leather Seats', 'Rear Camera']",5.0,WW in Morocco,No,Casablanca,Oulfa,108000.0
Hyundai,Santa Fe,2009,Excellent,200 000 - 249 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Fès,Other,110000.0
Volkswagen,t-roc,2018,Excellent,150 000 - 159 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking']",5.0,Customs-cleared car,Yes,Oued Zem,Toute la ville,252000.0
Audi,a1_sportback,2019,Excellent,85 000 - 89 999,Automatic,12 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Tanger,Ahlane,
Renault,Clio,2012,Very Good,160 000 - 169 999,Manual,7 CV,Petrol,"['Alloy Wheels', 'Rear Camera']",5.0,WW in Morocco,Yes,Inzegan,Toute la ville,65500.0
Dacia,Lodgy,2018,Excellent,15 000 - 19 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,,Yes,Sefrou,Toute la ville,100000.0
Dacia,Logan,2022,New,40 000 - 44 999,Manual,6 CV,Diesel,"['Rear Camera', 'Rear Camera']",5.0,WW in Morocco,Yes,Bouznika,Other,160000.0
BMW,M2,2024,New,0 - 4 999,Automatic,16 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",3.0,Imported New,,Casablanca,Maarif,
Peugeot,206,2003,Good,Plus de 500 000,Manual,7 CV,Petrol,"['CD/MP3/Bluetooth', 'Rear Camera', 'Electric Windows']",5.0,WW in Morocco,No,Tit Mellil,Toute la ville,51000.0
Honda,Civic,1997,Very Good,400 000 - 449 999,Automatic,9 CV,Petrol,"['Electric Windows', 'Leather Seats']",5.0,WW in Morocco,No,Casablanca,Ain Sebaa,
Volkswagen,GOLF 7,2018,Very Good,120 000 - 129 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Fès,Hay Saada,
Opel,Corsa,2024,Excellent,5 000 - 9 999,Manual,7 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Khouribga,Toute la ville,162000.0
Volkswagen,Jetta,1987,Very Good,5 000 - 9 999,Manual,6 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",5.0,WW in Morocco,No,Tanger,Drissia,
Jeep,Renegade,2016,Very Good,170 000 - 179 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Hay Moulay Rachid,158000.0
Opel,Astra,2019,Very Good,55 000 - 59 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Parking Sensors', 'Electric Windows']",5.0,WW in Morocco,No,Temara,Maghreb Arabi,155000.0
Skoda,Kodiaq,2020,Excellent,20 000 - 24 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Anfa,290000.0
Ford,Fiesta,2018,Very Good,85 000 - 89 999,Manual,6 CV,Diesel,"['Rear Camera', 'Air Conditioning', 'Onboard Computer', 'Parking Sensors', 'Central Locking']",5.0,WW in Morocco,Yes,Casablanca,Oulfa,113000.0
Renault,Symbol,2009,Good,130 000 - 139 999,Manual,6 CV,Petrol,"['Airbags', 'CD/MP3/Bluetooth', 'Onboard Computer', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Other,49000.0
Ford,Kuga,2015,Very Good,200 000 - 249 999,Manual,8 CV,Diesel,"['Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Central Locking', 'Electric Windows']",,,,Marrakech,Massira 1,
Volkswagen,Tiguan,2018,Excellent,190 000 - 199 999,Manual,8 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",5.0,Customs-cleared car,Yes,Rabat,Hay el Fath,305000.0
Opel,Vectra,1998,Excellent,5 000 - 9 999,Manual,6 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Alloy Wheels', 'Electric Windows']",5.0,Customs-cleared car,No,Casablanca,Sidi Bernoussi,43000.0
Fiat,FIORINO,2021,Very Good,130 000 - 139 999,Manual,6 CV,Diesel,"['Airbags', 'Electric Windows']",,WW in Morocco,No,Salé,Hay Chmaou,99000.0
Renault,Samsung SM3,2006,Very Good,25 000 - 29 999,Manual,11 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Electric Windows']",5.0,,No,Marrakech,Bab Doukkala,52000.0
Dacia,Logan,2006,Very Good,200 000 - 249 999,Manual,5 CV,Diesel,"['CD/MP3/Bluetooth', 'Alloy Wheels', 'Central Locking', 'Electric Windows']",,WW in Morocco,,Laâyoune,Toute la ville,43000.0
Ford,Fiesta,2009,Good,160 000 - 169 999,Manual,7 CV,Petrol,"['Rear Camera', 'Air Conditioning', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Fès,Agdal,50000.0
Mercedes-Benz,220,2014,Excellent,140 000 - 149 999,Automatic,10 CV,Petrol,"['Rear Camera', 'Alloy Wheels']",3.0,Customs-cleared car,Yes,Marrakech,Allal El Fassi,220000.0
Volkswagen,Jetta,2007,Excellent,200 000 - 249 999,Manual,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Fès,Agdal,76000.0
Dacia,Dokker,2020,Excellent,140 000 - 149 999,Manual,6 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Central Locking', 'Electric Windows']",,WW in Morocco,Yes,Casablanca,Sidi Maarouf,129000.0
Seat,ALTEA XL,2017,Excellent,180 000 - 189 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Ain Sebaa,105000.0
Fiat,Linea,2007,Very Good,160 000 - 169 999,Manual,5 CV,Diesel,"['Airbags', 'Air Conditioning', 'Speed Limiter', 'Cruise Control', 'Central Locking']",5.0,WW in Morocco,No,Casablanca,Hay Moulay Rachid 5,65000.0
Hyundai,Tucson,2005,Very Good,200 000 - 249 999,Manual,8 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",,,,Casablanca,Sidi Bernoussi,56000.0
Kia,Sportage,2022,Excellent,60 000 - 64 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Maarif,225000.0
Mercedes-Benz,Classe CLA,2014,Excellent,130 000 - 139 999,Automatic,8 CV,Diesel,"['Alloy Wheels', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,2 Mars,250000.0
Peugeot,508,2018,Very Good,150 000 - 159 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Kénitra,City Center,148000.0
Peugeot,Partner,2007,Very Good,Plus de 500 000,Manual,7 CV,Diesel,"['Electric Windows', 'CD/MP3/Bluetooth']",3.0,WW in Morocco,No,Agadir,Amicales,
Renault,Clio,2020,Very Good,140 000 - 149 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,El Jadida,Najd,
Renault,Clio,2017,Excellent,130 000 - 139 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Marrakech,Sidi Youssef Ben Ali,97000.0
Renault,Clio,2021,Excellent,90 000 - 94 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",5.0,WW in Morocco,Yes,Berrechid,Toute la ville,139000.0
Nissan,Qashqai,2008,Excellent,200 000 - 249 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Speed Limiter', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Kénitra,Bir Rami,110000.0
Fiat,Uno,2000,Good,200 000 - 249 999,Manual,7 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,WW in Morocco,No,Rabat,Yacoub El Mansour,26000.0
Peugeot,508,2014,Very Good,190 000 - 199 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Central Locking', 'Electric Windows']",,,,Agadir,Ben Serguaou,103000.0
Land Rover,Velar,2019,Excellent,90 000 - 94 999,Automatic,12 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Belvédère,495000.0
Suzuki,SX4,2012,Very Good,120 000 - 129 999,Manual,6 CV,Diesel,"['Airbags', 'Alloy Wheels', 'Central Locking']",5.0,WW in Morocco,No,Casablanca,Oulfa,68000.0
Land Rover,Range Rover Evoque,2018,,80 000 - 84 999,Automatic,8 CV,Diesel,"['Rear Camera', 'Electric Windows']",,,,Tanger,Draoua,360000.0
Fiat,punto_classic,2010,Fair,190 000 - 199 999,Manual,7 CV,Petrol,"['CD/MP3/Bluetooth', 'Alloy Wheels', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Taounate,Toute la ville,40000.0
Suzuki,Grand Vitara,2006,Very Good,20 000 - 24 999,Manual,9 CV,Petrol,['Air Conditioning'],3.0,WW in Morocco,No,Marrakech,Other,
Opel,OMEGA,2001,Fair,200 000 - 249 999,Manual,8 CV,Diesel,['Air Conditioning'],5.0,Customs-cleared car,No,Temara,City Center,38000.0
Volkswagen,Caddy,2008,Very Good,250 000 - 299 999,Manual,8 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Nador,City Center,
Renault,Kangoo,2006,Good,300 000 - 349 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'CD/MP3/Bluetooth']",5.0,WW in Morocco,No,Casablanca,Aïn Chock,66000.0
Opel,Insignia,2012,Very Good,180 000 - 189 999,Automatic,8 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Ain Sebaa,100000.0
Renault,R19,1995,Excellent,45 000 - 49 999,Manual,10 CV,Diesel,"['Leather Seats', 'Alloy Wheels']",5.0,,No,Marrakech,Route d'Ourika,48000.0
Opel,Astra,2014,Excellent,170 000 - 179 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Safi,Ijennane,118000.0
Renault,Scenic,2003,Good,30 000 - 34 999,Manual,7 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Agadir,Other,64000.0
Peugeot,207,2008,Excellent,190 000 - 199 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Electric Windows']",5.0,,No,Salé,Hay Salam,68000.0
Fiat,Siena,2003,Very Good,20 000 - 24 999,Manual,7 CV,Diesel,"['Rear Camera', 'Electric Windows']",,,,Tanger,Marjane,
Hyundai,Santa Fe,2007,Very Good,190 000 - 199 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Rabat,Taqaddoum,69000.0
Peugeot,208,2023,Excellent,0 - 4 999,Automatic,7 CV,Diesel,"['CD/MP3/Bluetooth', 'CD/MP3/Bluetooth']",5.0,WW in Morocco,Yes,Tanger,Ennasr,
Toyota,RAV 4,2007,Very Good,250 000 - 299 999,Manual,8 CV,Diesel,"['ABS', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Parking Sensors', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Aïn Borja,84000.0
Volkswagen,Touareg,2017,Very Good,180 000 - 189 999,Automatic,12 CV,Diesel,"['Airbags', 'Alloy Wheels', 'Leather Seats', 'Central Locking', 'Electric Windows']",,,,Casablanca,Sidi Bernoussi,
Volkswagen,Phaeton,1996,Good,190 000 - 199 999,Manual,8 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,Customs-cleared car,,Oujda,Hay El Andalous,
